,Question,Answer
709,What type of dishwasher detergent is less likely to gum up and build up as residue inside the dishwasher,"I have no American market knowledge but in Europe and Australia none of the wellknown brands clog the machine unless the dishwasher itself has a problem. I did see clogging in a few commercial premises when Industrial detergent was used and I did see it when no name corner shop or environmentally friendly detergents were used in conjunction with short or cooler programs. All detergents from the market leader Finish work well as long as the machine is correctly set for the water supply and the right program is used. Fairy are also good as are a few of the big supermarket own brands, but with the latter you have to sample them to see what works for you. Here are a few additional tips or things to watch out for Tablets are great but they are not all the same. Many people assume that all tablets are All in one detergent, rinse aid and salt function Theyre not, there are several that are purely detergent and rinse agent and salt Depending on water supply are needed. All in one tablets cannot cope with extremely hard water and are wasted if used where the water is very soft. If you live in a particularly hard water area and want to use tablets you should set the softener Salt setting to partly reduce the water hardness and you should set the rinse agent dispenser to a low setting give a little additional help with the drying. If you mainly use the most economical cool washes periodically run the most intense hottest wash to clear any built up residue. What type of dishwasher detergent is less likely to gum up and build up as residue inside the dishwasher? Why are dish soap and dishwashing detergent two different things? Why not just make one single product that works for both uses? Why do people insist on buying dish washer detergent packets when the machines were designed to run most effectively on liquid? What methods can be used to unclog a dishwasher? How do I stop my dishwasher from leaving white powder on dishes? How can you get dish soap out of the dishwasher? Im not quite sure what you mean by Crust but will assume that you mean food that has dried onto the dishes. If this is the case here are a few tips that may sort out your problem Make sure that the machine is set up properly and the filters and arms are clean. If you are on a hard water supply and need to add salt into a chamber within the machine make sure that the machines salt use or regeneration level is set accordingly. Look online for the water hardness in your area and in the manual for the setting Dont let the food dry out and form a crust in the first place. After the meal Scrape the excess food from the dishes and load the machine and run the pre rinse. This will remove runny foodstuff that would otherwise dry like egg and sauce. When you load the machine do it with the surface of the plates exposed to the water jets that spray upwards from the revolving arms below the baskets. The water coming out of the jets needs to get to the food on the items inside so make sure that the plates are not packed together too tightly. If your machine is plumbed to a hot water supply change it to a cold supply. Protein type food like egg goes hard and bakes onto the dishes if it is hit by hot water. I have never encountered a single real dishwasher that doesnt have its own built in heater element so although the cycle will take a few minutes more the transition from cool to hot water will make the wash far more effective. This excludes those odd Indian and Chinese hand turned plate washers Try different cycles. Do not constantly use the quick cycle for general washing. As with clothes washing the quick was is a compromised wash and should only be used on slightly dirty plates etc. A longer wash with a pre rinse will work best. Try different detergents. They really arent the same, try and see for yourself.  ,  Why does my dishwasher not get the crust off the dishes? Ill guess that youre asking about the differences between liquid dish detergent made for handwashing dishes and dishwasher detergent. If thats what you want to know, they are different because they must be different to function properly. Detergent for handwashing is made to cut grease and not be overly harsh on one hands. Detergent for a dishwasher is much harsher and not safe to use for handwashing. Its made to work only at much higher temperatures than you could stand on your hands and is much harsher to make up for the lack of friction you get with handwashing. The word soap is used interchangeably for all sorts of cleansing products, but genuine soap is made from two basic ingredients that occur very naturally in nature, fat and a strong base, usually lye. Its a solid product that is most often sold in bars. Detergent is synthetic, can be made into a liquid, a solid or a gel and depending on the ingredients, be mild on skin or very harsh and damaging to skin. They cant make one single product that both washes dishes safely by hand and would work in any dishwasher so they are very different things. Why are dish soap and dishwashing detergent two different things? Why not just make one single product that works for both uses? The powder buildup is hard water deposits from the detergent or from your home water supply.  Use a mild acid such as vinegar, Lemi Shine, Cascade Dishwasher Cleaner, Finish Dishwasher Cleaner, Dishwasher Magic or Affresh Dishwasher Cleaner to dissolve and rinse away deposits. The first cleaning will likely require several treatments. You may want to pause the cycle to allow the product extra time to work in the lower pump section. My favorite product is Lemi Shine, because it is just citric acid. Effective, inexpensive, and leaves a pleasant scent.  Many people use too much detergent. If you rinse your dishes, you can get away with as little as one tablespoon of detergent per load. In the future, use the minimum amount of detergent that gets the dishes clean.  Liquid dishwasher detergent has a nonsoluble powder in it designed to cause the product to flow properly. Powdered dishwasher detergent actually dissolves better than the liquid. Consider switching detergents.  If you want to keep your current washing habits, just perform another dishwasher cleaning cycle each month or as needed.  How do I stop my dishwasher from leaving white powder on dishes? What works better in a dishwasher gel detergent, or powdered detergent? What can I do if my Frigidaire dishwasher is not drying? What do I do if I accidentally use a laundry detergent pod in a dishwasher? Can a damaged dishwasher heating element break something else? How do we get our dishwasher to clean better? Manually massage the hose to break up any hard clogs. Undo the hose and clean all related filter parts and fittings. Buy a drain snake spring cleaner and poke it a lot. If you have a garden hose, go out and flush it through. Buy some washing soda crystals, fill a large bowl with very hot water and immerse the hose, ensuring the whole length is filled with the solution. Rinse out with Hot water. Reattach the hose and put half a packet of soda crystals in the empty dishwasher with half a litre of white vinegar. Put it on a long wash cycle. Perform the last step every two months, but importantly, remember that the dishwasher is only really a hot rinsing machine, you should prewash and especially remove any grease and food debris before you place items in the dishwasher . What methods can be used to unclog a dishwasher? How do I clean a clogged dishwasher drain hose? Hello there If your dishes are not coming out clean, the problem may not be your dishwasher, but the detergent you are using. Use a high quality detergent or consider switching to a powder detergent for better cleaning results. Clean out the detergent dispenser cup and make sure it is not clogged. Make sure you stack your dishes properly too. If the dishes are not properly loaded, the spray pattern will not be able to reach all areas of the dishes resulting in poor cleaning quality. Checking your waters quality is also important. Hard water will result in the soap not dissolving well and the dishes will have a film on them. Even the use of commercial products designed to remove the spots will not improve performance in this situation. The water should be about 3 4 The heating element, located at the bottom of the dishwasher, maintains the temperature of the water. Most dishwashing soaps will not dissolve unless the water temperature is at least 140 degrees. On most newer dishwashers, there is a thermostat that will not allow the timer to advance unless the water temperature is correct. If hot water is going into your dishwasher, but the temperature drops during the cycle even with a heating option selected, the heating element may be defective. If these tips do not fix your issue, you can find more information here  Why is my dishwasher leaving my dishes dirty? Most dishwasher detergents are formulated to rinse off cleanly and not build up. But, that is for water that has been softened. Hard water is a problem and can prevent dishwasher soap from dissolving completely. You might want to clean your dishwasher occasionally by running it through a wash cycle with a couple tablespoons of citric acid. I think its sometimes called Fruit Fresh. I just buy it bulk. You can also buy dishwasher cleaning agents at the store I you like. Some people swear that running a cup of white vinegar in a wash cycle does it. It didnt seem to work that well for me. What type of dishwasher detergent is less likely to gum up and build up as residue inside the dishwasher? If your dishwasher is gumming up, its likely not the detergent at fault. None of them are likely to be significantly better than any of the others, they just smell nicer and are a different colour. Every so often, youll have to determine the time, just run it on the hottest program with no dishes. That will keep you going until you find out what you are doing wrong. PS, ignore the detergent ads. When they say things like washes twice as clean as , they dont usually tell you cleaner than what, probably no detergent at all. What type of dishwasher detergent is less likely to gum up and build up as residue inside the dishwasher? the short answer is yes.nthe dish drain hose usually has an air breaker in one of the holes in the top of the sink usually building code regulated the other options are the air breaker is mounted in the cabinet above the bottome of dishwater and above the disposal unit if no air breaker, then the drain line needs to be elevated as high as possible in the cabinet above the disposal and above the bottom of the dishwasher. the whole idea is not to have any water draining back into the dishwasher and spilling out on to the floor. Does a dishwasher drain hose need to be elevated? So you poured some liquid soap for hand washing dishes into your dishwasher and realized your mistake before you hit run. No problem. Take out all the dishes and any removable racks and set them to the side. Now take a damp washcloth and wipe out all the liquid soap inside the dishwasher. Take another damp washcloth and go over everything again paying extra attention to the soap holder and to the bottom. With nothing in the dishwasher set it for a short cycle without heated drying and run it one time. While thats running take all the dishes and removable racks you set aside and wash and rinse them by hand. Set aside to dry. Once the short cycle is done put the removable racks back in the machine and you should be ready for the next time. How can you get dish soap out of the dishwasher? How do you remove dish soap from a dishwasher? Dawn is a very good dish washing detergent , ideal in removing gum up residue inside the dishwasher. Dawn is also very gentle, for I have seen that ducks and birds caught up in environmental oil spills have been washed with gentle but tough Dawn.And , amazingly , the birds and ducks were not affected by the soap. Mother Nature was smiling for the occasion What type of dishwasher detergent is less likely to gum up and build up as residue inside the dishwasher? What type of dishwasher detergent is less likely to gum up and build up as residue inside the dishwasher?"
710,If I soak wood in diluted salt vinegar and water will it clean it for hermit crabs,"Clean it in what way? If its dirty all you need is some water to soften up anything stubborn. A brisk scrub with a stiff brush should be enough after that. I would not use vinegar in any case, its too acidic, but salt is fine. If you have concerns about it growing some mould, then Id either boil it for a half hour or so or else soak in water with some bleach added for about the same length of time and then let it fully dry out. I do this for all the woods I use in my aquariums. Once dry all the chlorine will be completely gone because its so highly volatile but if you wish to avoid using bleach, then boiling alone works fine. If I soak wood in diluted salt, vinegar, and water, will it clean it for hermit crabs? Can shore crabs live permanently underwater? Can spiders turn into crabs? Why cant crabs walk forward? If you see the  Acetic acid, also lime juice, is less corrosive on  The wood stain How do you lighten wood? You literally just take a rag, pour bleach on it and wipe onto the  How do I make my dark wood lighter? Instructions Wear a mask and protective gloves. ... Clean sawdust from  Lighten  Applying clear gel paint using a brush made for  Brush the gel paint using mineral spirits. ... Apply a layer of polyurethane sealant using a natural brush. Twopart A B  How do you make wood white? Steps Mix paint and water to desired consistency for this example, I used equal parts. Dip a rag in the mixture and apply it liberally to the  Dry and repeat coats until desired opacity. Chlorine  Will vinegar lighten wood? If I soak wood in diluted salt, vinegar, and water, will it clean it for hermit crabs?"
711,How to clean the transparent back cover of a phone,
712,If I use besan instead of soap or face wash will it remove dirt completely or should I use any scrub also,
713,How to wash my Louis Philippe white t shirt with blue stripes,
714,What should you do if your roommates refuse to clean up after themselves in common areas,
715,What anti fungal spray is best for cleaning home after kittens have been diagnosed with ringworm 1,"F10 is specialised for animal use. Outside of that, you can use bleach to effectively kill ringworm spores, but be careful using it around cats because it may trigger problem urinating due to the smell. Unashamed Cat Addicts What antifungal spray is best for cleaning home after kittens have been diagnosed with ringworm?"
716,How do I fix a Bosch dishwasher issue where the programming button is not working the time is set to 1 30 and sometimes it s set to 2 30 and the start button does not work,"How do I fix a Bosch dishwasher issue where the programming button is not working, the time is set to 130, and sometimes its set to 230 and the start button does not work?"
717,CAN I USE SPEX CLEANING CLOTH for LAPTOP SCREEN,
718,Does wax at a car wash work,Does wax at a car wash work?
719,Multiple sanitizers must be mixed properly to work correctly What is the correct way to use a sanitizer,Multiple sanitizers must be mixed properly to work correctly. What is the correct way to use a sanitizer?
720,Does cleanliness affect the life of clothes,Does cleanliness affect the life of clothes?
721,Is it better to use isopropyl alcohol to clean your screen on your phone or TV than WHOOSH screen cleaner,"Q Is it better to use isopropyl alcohol to clean your screen on your phone or TV than WHOOSH screen cleaner? A It is safe to use 70 isopropyl alcohol only 70 isopropyl alcohol Apple stated during the Covid19 Pandemic that it is ok to use isopropyl alcohol on their products Turn the product off Put a little bit of isopropyl alcohol on a clean microfiber cleaning cloth and squeeze it, so there are no more liquid drops coming out of it then wipe your product clean Let the product dry before turning it back on You can do that for TV sets 70 Isopropyl alcohol costs less and is easily available Is it better to use isopropyl alcohol to clean your screen on your phone or TV than WHOOSH screen cleaner? Why is isopropyl alcohol safer for cleaning technology than ethyl alcohol? Can you mix rubbing alcohol or isopropyl alcohol with acetone as a cleaning solution, or do not mix those two? Is it dangerous to mix the two, or the two don't react, so you can use them both at the same time for cleaning? Can I disinfect my face mask by spraying it with isopropyl alcohol? Where can I buy a 99 isopropyl alcohol? How rectified spirit different from isopropyl alcohol? What are they used for ? Which one of them is better for cleaning electronics , disinfection surfaces and sanitizing skin? Isopropyl is pretty good for things that are glass or electronic and unplugged, but Id hesitate to recommend it for a TV. It might be just fine, but on the off chance that it isnt, I find that a moist paper towel and drying is enough to keep a TV clean, as its generally not something that involves touching the screen directly on a regular basis. If you want to buy a dedicated product to clean a screen, and its from a brand you trust, Id say go for it. Is it better to use isopropyl alcohol to clean your screen on your phone or TV than WHOOSH screen cleaner? Some cleaners have ammonia in them that can damage the screens. Isopropanol is OK, may need the addition of a little water. I use a dedicated screen cleaner gel from Philips, use it for glasses specs, phone, monitors and TV. Lasts for ages. Is it better to use isopropyl alcohol to clean your screen on your phone or TV than WHOOSH screen cleaner? Is it better to use isopropyl alcohol to clean your screen on your phone or TV than WHOOSH screen cleaner?"
722,What is a short guide on air duct cleaning,What is a short guide on air duct cleaning?
723,If it is cold enough can you freeze dry your laundry,"If it is cold enough, can you freeze dry your laundry? Yep Until relatively recent time, it was the only way you could effectively dry cloths in bulk in a frigid climate.  Can you line dry in the dead of winter? Absolutely If it is cold enough, can you freeze dry your laundry? Is it better to dry clothes on high heat for a short time or on a low heat for a longer time? What is the explanation and importance of drying in laundry? How can I quickly dry out soaked and frozen clothes in 40C environment if there is no sunlight or sources of heat? Why do dryers use heat to dry clothes? What happens to clothes left at the dry cleaners? Q If it is cold enough, can you freeze dry your laundry?nA IF it is cold enough, the dry air DOES freeze dry your laundry. If it is cold enough, can you freeze dry your laundry? Many years ago, I thought hanging my laundry outside on a cold day would be a good idea. After a few hours, I went to get the laundry off the line. Everything was frozen solid. The worst were the sheets. They actually snapped in half. Because they will freeze before they dry, you risk destroying your laundry by freezing, then breaking it. If it is cold enough, can you freeze dry your laundry? Years ago, one winter when I was just a kid, my mom hung out the freshly washed clothes on a bitter day on the clothesline in the backyard. They all froze stiff and my sister and I had a lot of fun carrying the frozen stiff clothes back into the house Just a memory now, everyone has clothes dryers. If it is cold enough, can you freeze dry your laundry? Laundry  What happens if I use cold wash on a piece of clothing that says warm wash only? Is it only the colour that gets affected? How do I dry clean clothes at home? In which weather do wet clothes dry faster, hot and humid weather or cold and dry weather? What happens to clothes left at the dry cleaners? Well they do freeze and they do dry mostlythey tend to be a little damp when they thaw, but its not freezedrying like with coffee or dehydrated foods. Hanging them on the line sucks. Its cold, the clothes are wet, your hands are bare.They get stiff when they freeze. You can whack them with a broom handle to make them foldable. Over all, Ill stick with the dryer in the basement. If it is cold enough, can you freeze dry your laundry? NO That is a process that requires set temperatures done with Coffee etc. Youd have to consult a systems engineer to know how it works. If it is cold enough, can you freeze dry your laundry? Depends on what you mean. Freeze dry underwear, such as underwear, to a solid state can not be. If the laundry is wet, it will become hard from the frost. If it is cold enough, can you freeze dry your laundry? Yes, you can still hang laundry out to dry in freezing temperatures. It will freeze dry. The frozen water will evaporate in spite of being frozen, but it will take a long time. If it is cold enough, can you freeze dry your laundry? If it is cold enough, can you freeze dry your laundry?"
724,A dripping water noise is coming from my toliet Its not leaking water the flushing mechanism is intact and functional and no water appears around the toliet on the floor Whats causing the dripping noise,"My 1st guess would be that either your toilet fill valve is not fully shutting off, I would start by removing the tank lid when you hear the dripping sound, and making sure the water level is below the fill line usually around 1 below the top of the over flow tube. If it is at the top of the tube it is usually adjustable, next check the little tube that goes from the fill valve to the over flow tube, if it is dripping you need to replace the fill valve. I usually use the Fluidmaster 400A which is available at most home improvement and hardware stores. turn off the water to the toilet using the control valve at the wall, flush the toilet holding down the handle until as much water leaves as possible. Now remove the supply tube from the wall control valve to the toilet fill valve. Then either remove the left over with a shop vac, or place a small bucket under the fill valve and remove the fill valve catching the water in the bucket. Next install the fill valve following the instructions for installation and adjustment, reconnect the supply tube and.turn on the water and check for leaks. My 2nd guess would be that the flush valve flapper may be leaking slightly. Unfortunately many of these are now toilet specific. Often Youtube will have a video showing how to replace you specific flush valve or repair it. If you are lucky and it has a standard flapper, turn off the water to the toilet, using the control valve at the wall, flush the toilet holding down the handle until as much water leaves as possible, remove and replace the flapper also, clean the surface where the flapper sits as sometimes residue can be left there that can cause the new flapper to leak, and.turn on the water allow the toilet to fill, and flush a few times. While cleaning this surface check for pitting of the surface. If it is pitted or rough sometimes it can be smoothed out with steel wool, if not you may need to replace the entire flush valve assembly which Fluidmaster also makes an assortment of as well as a fairly universal repair kit. Just follow the instructions. A dripping water noise is coming from my toliet. It's not leaking water, the flushing mechanism is intact and functional, and no water appears around the toliet on the floor. What's causing the dripping noise? For sink faucets that have a separate side sprayer, can the faucet be installed without the sprayer? How can I identify which water pipe is going to my apt? There are 6 water pipes exposed on the roof but they all go inside the wall at one point where each one goes to a different apt. The exposed length of each pipe is short less than 0.5 m Can I put a water softener in my house if I dont have a floor drain? How do I fix a slow draining toilet? When flushing the toilet some water is leaking out of the bottom  how to fix this or do I need a new toilet? It is possible one of the toilets is newer, and is a low flow toilet. From the getgo, these use less water to make a flush, but in some instances some of this design from the earlier implementation of low flow toilets were known to not flush as well. More modern designs direct water better in more of a jet to add some push, so that even thought there is less water available, it does the work of higher flow toiletsSo it might just be you have a fairly old toilet, and and intermediate aged toilet. Another option is that the float arm may not be adjusted correctly, and you may not have the correct amount of water filling the water tank. This could certainly cause the need for multiple flushes, as the water in the bowl must reach a certain height to cause a flush to take place, even with no ahem restrictions blocking the trap. To check this is the case, take the lid off the water tank, and flush the toilet once. Note where the water rises to when it refills. Often, the float arm will have a slight bend to it, such that you can slightly loosen or tighten the thread on one side of it to adjust the position the float arm sits when the water reaches the full level. A slight pivoting of the arm can add a bit of water to each flush that can get it to the point where it flushes with one press of the lever. While you are looking in the tank, check for bricks. It was suggested in the 90s to add a brick to your old high flow toilets, to reduce the amount of water per flush. Someone may have done this, but the setup on these older high volume flush toilets really doesnt work as well with reduced water flow, so while it might somewhat function, if you have to flush twice, and the water saved is only 1 4 of the tank volume, then you actually end up wasting another half tanks worth of water by doing multiple flushes, which defeats the purpose. If it isnt working, and there is a brick in the water tank, try removing it, and seeing if the flushing improves, and if it does, skip the brick. You might also look to see if automatic bleach tabs are gumming up the works. The bowl cleaning tabs usually do well at keeping the water blue and the bowl cleaned, but if too many were used prior to previous months being used completely up, there may be some buildup or residue that is blocking some of the flow. The same might be true if you have hard water, and deposits have built up around the flap. Conversely, the rubber stopper flap that allows the toilet to flush may be leaking. If you flush, and note the toilet periodically kicks the water back on long after you have flushed, even an hour or two later it just kicks in, you may have a leaky flapper. This can mean that the water level is low, leading to a less powerful flush, the same as the others. In general, taking the lid off the rear water tank, and making some observations on both tanks to see what is happening different may be the best way to troubleshoot what is going on. If they both appear to function normally under the hood, then it may just be that one toilet is of that intermediary design, that struggles to flush as well as the older high flow, and new low flow designs. In a house with two toilets, one flushes properly and the other does not. What causes one toilet to partially flush pressure seems low and require multiple flushes? How can I identify which water pipe is going to my apt? There are 6 water pipes exposed on the roof but they all go inside the wall at one point where each one goes to a different apt. The exposed length of each pipe is short less than 0.5 m Assuming you cant just go the other side of the wall and see where the pipes go next, I think I would try this. No idea if its going to work, but doesnt cost much. Arm yourself with a nice big screwdriver with a rounded end to the handle, which fits comfortably in your ear thats the  Some time when most people are not using water, turn on a cold tap in your apartment and listen to each pipe using the screwdriver as a stethoscope. The one with the loudest flowing water sound is probably yours  confirm by turning your flow off and rechecking. If that is inconclusive, ask somebody to continually tap the pipe where it comes into your apartment and do the listening thing again. Next level up of artillery involves freezing each pipe in turn and seeing which one stops the flow, but I would regard this as a last resort. How can I identify which water pipe is going to my apt? There are 6 water pipes exposed on the roof but they all go inside the wall at one point where each one goes to a different apt. The exposed length of each pipe is short less than 0.5 m Ken Streiff You  Its not ideal, but not undoable. However, if this is in the basement and youre near a sink, my advice is to bust up the floor and install the floor drain. Ive done this myself before, and while its not easy, its not  Last thing if you tried this with a metal washtub it would be disastrous  that much salt would corrode any metal quickly. Can I put a water softener in my house if I dont have a floor drain? How do I prevent my toilet's tank water to keep running after flushing? Why is water coming back into septic tank from outlet? Can I dump mop water down the street drain? What could cause a gulping dripping noise from under a bathtub drain, when no water was run from there recently? How do water pipes have water in them all of the time, but the water never comes out unless we turn a faucet on? Instead of my toilet actually flushing or pushing the water down the drain, it just fills with water and drains out over the course of a few minutes. Anything liquid will drain out but nothing else not even toilet paper. How can I fix this? Go get a closet snake from your local big box hardware store. It looks like this  ,  It costs less than thirty dollars and works much better than a plunger. Read If you do use a plunger, remember it works on the pull stroke much better than the push stroke. Fit the plunger to the bottom of the drain, then slowly push the air out of it. When fully pressed into the drain pull back sharply to pull the clog back and break it up. Work the plunger back and forth with the emphasis on the pull stroke. If you try to force the clog further into the drain it will just get harder to clear. Image credit Google. Instead of my toilet actually flushing or pushing the water down the drain, it just fills with water and drains out over the course of a few minutes. Anything liquid will drain out but nothing else not even toilet paper. How can I fix this? Most of them have a special plastic wrench that fits over the bottom cartridge to give you more leverage see pic for example. If you do not have one, you might ask a neighbor or local hardware supplier if they have one you can borrow. In a pinch, you can try using a car oil filter wrench if you have one big enough the kind with a handle and metal loop that tightens as you twist. If the filter is in a place where you can do so, pouring some hot not boiling water over it between tries may help it to break the seal. Place a bucket or sheet pan below it to catch the water and place some towels on the floor to catch any splashes or drips, if it is inside. When you replace the filter, be sure to use some food safe grease on the oring and threads of the filter to ensure the next change goes smoothly. Sometimes the plastic filter housings will get brittle with age, so if the filter is very old it may end up cracking or breaking if you really have to force it. For this reason, it is always recommended to take on this battle on a weekday morning so you can go to the supply house if it breaks and avoid being without running water for the weekend. Dont ask me how I first learned that lesson  lol  ,  How can I remove a whole house water filter housing, if it doesn't want to twist? There is a clog downstream from your lowest level toilet, but that, too, should show signs an overflow. There is too much water trying to get through your drain sewer hook up than it can handle. It could be roots or a crushed pipe to any number of causes. The closest pic I could find within a reasonable amount of time was this. It shows you how the pipes are hooked up. Just swap the lower sink for toilet.  ,  Its absolutely time to call a plumber. It could be something simple like a Tickle me Elmo doll 300 to tree roots in your waste drain ,. Call a plumber. Why, when I flush the upstairs toilet, the downstairs toilet overflows? The drain field is saturated and you need a new drain field, The drain field SHOULD have been installed to compensate for the amount of rain in your area. IF, after a rain, water backs into your tank. That is a symptom that your leach field is no longer able to handle the water it was designed for. WHY???? WHY BRAD. I do not want to PAY for a new leach field, What can I do?? Hire a plumbing co to preform a perc test in your leach field. He will dig hoes and fill with water. Then record the TIME it takes fr the water to drop. Depending on your area, and recorded rain fall The test will give an indication if your field is still viable. WHAT?? can i do something else? something cheap? Not if you want it done right. there is one temp solution. that DEPENDS on where you live. Go to the end of he leach field, dig up the pipe, Either daylight the pipe or add a 45 degree fitting that is open. this will give your system RELIEF till you scratch the bucks up to have it replaced  ,  Why is water coming back into septic tank from outlet? A dripping water noise is coming from my toliet. It's not leaking water, the flushing mechanism is intact and functional, and no water appears around the toliet on the floor. What's causing the dripping noise?"
725,What is the best way to clean limestone from a shower ceiling faucet,"Remove the shower head from the pipe. 2. Place the shower head into a small bowl, then pour some CLR into a bowl and place the shower head in the liquid to submerge the nozzles in the shower head. Also, pour a little bit of the CLR into the shower head The part that attaches to the pipe. This allows the cleaner to remove the limescale from the shower head from the inside and the outside. Let shower head sit in bowl for about..8 hours works. Afterward, simply reinstall. The water flow should be normal. What is the best way to clean limestone from a shower ceiling faucet? What is the best way to clean limestone from a shower ceiling faucet?"
726,What do the gram stain the acid fast stain and the endospore stain have in common,"What do the gram stain, the acidfast stain, and the endospore stain have in common?"
727,What are alternate uses for chemical drain pipe cleaning liquids gels,What are alternate uses for chemical drain pipe cleaning liquids gels?
728,When should you clean a bowling ball,"No matter how hard you try, keeping the microwave clean from sauce splatters to burnt popcorn odors and everything in between can be a challenge. Next time your microwave needs some TLC, skip the endless handfuls of wet paper towels and try this instead. You'll need a medium sized, microwavesafe bowl vinegar, lemon, or dish soap water  ,  Pour a mixture of 1 cup water to 1 4 cup vinegar or dish soap if using lemon, a half slice will work into the microwavesafe bowl.  ,  Microwave for 5 minutes to activate the solution or citrus slices, then let sit for 5 more minutes. Allowing it to sit an additional few minutes will not only ensure the mixture had a chance to completely diffuse along the inside of the microwave, but will also allow the bowl to cool off a bit. Be careful not to touch the bowl with your bare hands when removing it Give the inside of the microwave a quick wipe down if there are any bits of food remaining, and enjoy your refreshed microwave  ,  For more expert cleaning advice from Hoover, visit   ,  Source  How do you clean a microwave oven? When should you clean a bowling ball? From a sanitation point of view, I never even considered cleaning before this question was asked. But, from a practical use point of view, it may be wise to clean the ball both before and after a game. However, during competition you will likely be restricted from doing so using chemicals or even powders. RULE CHANGE Rule 18  Altering Surface The above link not only lists  Cleaning the ball  From a sanitation point of view,  When should you clean a bowling ball? Can a bowling ball sweat? What company makes the best bowling balls? How do I bowl lesser wides in cricket? Why do you spin a bowling ball? How should you clean a bowling ball? Between every shot Use an oilabsorbing tower  a shammy to clean up the oil tracks on your ball. Between every 12 days of Bowling Use a ballcleaner and clean the oil track stains. Between every week month depending on your frequency of Bowling Go to your local proshop and oven detox the ball to remove the oil that managed to seep into the ball. Also, if your ball is say, a shined ball, you might want to maintain the coverstock by regularly shining the ball at the same grit, and likewise if it's a dull ball say, a solid, or a urethane then you might want to use a spinning machine to dull the ball to maintain the coverstock. But it depends on what your needs are and what oiling pattern you are going to tackle. For example, if I'm going to bowl on house shots I might not want to dull the urethane too much since I might as well use it for spares  dulling it will remove a tad bit of the coverstock actually but if I'm Bowling on those WTBA patterns 41ft long I probably would put some surface. That's really about it to the best of my knowledge. You might find some other effective ways but those are the common ones. Happy Bowling How should you clean a bowling ball? When should you clean a bowling ball?"
